subject,current_topic,score,time_spent,attempts,learning_style,next_topic
CN,Routing,52,86,3,Visual,Routing
DBMS,SQL,64,68,2,Audio-Visual,SQL
DBMS,Normalisation,45,60,2,Visual,Normalisation
OS,Threads,62,84,3,Audio-Visual,Threads
CN,TCP/IP,55,52,2,Audio-Visual,TCP/IP
Python,Functions,63,58,3,Kinesthetic,Functions
DBMS,Normalisation,79,69,2,Kinesthetic,Normalisation
OS,Scheduling,26,111,3,Visual,Scheduling
OS,Scheduling,88,55,2,Audio-Visual,Threads
DSA,Linked List,68,117,4,Visual,Linked List
OS,Scheduling,12,146,4,Visual,Scheduling
OS,Processes,84,42,2,Kinesthetic,Scheduling
DBMS,Joins,38,127,5,Audio-Visual,Joins
OS,Processes,93,45,1,Audio-Visual,Scheduling
DBMS,Joins,73,80,4,Kinesthetic,Joins
OS,Scheduling,58,102,2,Visual,Scheduling
OS,Processes,69,84,4,Visual,Processes
Python,Functions,80,31,1,Kinesthetic,Loops
Python,Functions,75,77,3,Kinesthetic,Functions
OS,Scheduling,62,60,2,Visual,Scheduling
Python,File Handling,68,98,2,Kinesthetic,File Handling
DSA,Linked List,51,75,3,Audio-Visual,Linked List
DSA,Linked List,89,79,2,Audio-Visual,DSA Revision
CN,TCP/IP,69,75,3,Kinesthetic,TCP/IP
DSA,Queue,90,20,1,Kinesthetic,Stack
DBMS,SQL,98,70,2,Kinesthetic,Joins
Python,Functions,99,41,1,Kinesthetic,Loops
CN,Routing,90,55,2,Kinesthetic,OSI Model
DSA,Queue,49,82,2,Visual,Queue
OS,Threads,52,119,3,Visual,Threads
CN,TCP/IP,24,147,4,Kinesthetic,TCP/IP
DBMS,SQL,52,52,4,Visual,SQL
DSA,Arrays,40,118,3,Visual,Arrays
CN,Routing,23,172,4,Visual,Routing
Python,OOP,61,75,2,Kinesthetic,OOP
CN,TCP/IP,88,23,2,Audio-Visual,CN Revision
DSA,Linked List,100,23,2,Kinesthetic,DSA Revision
Python,Loops,12,128,3,Visual,Loops
Python,OOP,22,114,3,Visual,OOP
DSA,Linked List,30,163,4,Visual,Linked List
DBMS,SQL,97,45,2,Kinesthetic,Joins
CN,OSI Model,90,74,2,Audio-Visual,TCP/IP
OS,Threads,86,44,2,Kinesthetic,OS Revision
DBMS,SQL,19,166,3,Visual,SQL
OS,Processes,86,74,2,Audio-Visual,Scheduling
OS,Threads,50,62,2,Visual,Threads
OS,Scheduling,18,128,3,Visual,Scheduling
DSA,Queue,71,72,3,Visual,Queue
CN,Routing,43,98,2,Visual,Routing
OS,Scheduling,77,65,2,Audio-Visual,Scheduling
Python,Loops,27,162,3,Visual,Loops
DSA,Queue,66,107,4,Visual,Queue
DBMS,Joins,35,100,4,Audio-Visual,Joins
DBMS,Joins,73,66,2,Kinesthetic,Joins
DBMS,Normalisation,29,157,3,Visual,Normalisation
DBMS,Joins,77,64,4,Visual,Joins
OS,Scheduling,60,71,3,Visual,Scheduling
DBMS,Normalisation,67,75,4,Kinesthetic,Normalisation
Python,OOP,40,68,3,Visual,OOP
Python,Loops,60,76,4,Audio-Visual,Loops
CN,OSI Model,50,52,3,Visual,OSI Model
Python,Loops,26,179,5,Kinesthetic,Loops
Python,OOP,91,75,1,Audio-Visual,Functions
DBMS,SQL,72,62,3,Audio-Visual,SQL
Python,Functions,94,55,1,Kinesthetic,Loops
OS,Scheduling,80,42,2,Audio-Visual,Threads
CN,OSI Model,92,76,1,Kinesthetic,TCP/IP
DBMS,Normalisation,32,156,5,Kinesthetic,Normalisation
DSA,Linked List,93,39,2,Kinesthetic,DSA Revision
DSA,Stack,76,67,3,Kinesthetic,Stack
DSA,Arrays,83,31,2,Kinesthetic,Linked List
DBMS,Joins,79,85,2,Audio-Visual,Joins
CN,TCP/IP,69,79,4,Audio-Visual,TCP/IP
OS,Processes,49,114,4,Visual,Processes
DSA,Linked List,55,74,2,Audio-Visual,Linked List
Python,Loops,71,75,2,Audio-Visual,Loops
DBMS,Normalisation,94,76,1,Audio-Visual,DBMS Revision
DBMS,Normalisation,73,118,4,Audio-Visual,Normalisation
Python,OOP,78,55,2,Audio-Visual,OOP
Python,File Handling,44,74,3,Visual,File Handling
OS,Scheduling,79,56,4,Kinesthetic,Scheduling
Python,OOP,97,28,2,Kinesthetic,Functions
DSA,Linked List,81,76,2,Visual,DSA Revision
DSA,Queue,74,96,2,Kinesthetic,Queue
CN,TCP/IP,72,55,2,Kinesthetic,TCP/IP
DSA,Stack,61,103,3,Kinesthetic,Stack
DBMS,Joins,38,106,3,Visual,Joins
Python,File Handling,80,58,2,Audio-Visual,Python Revision
DBMS,Joins,44,50,2,Audio-Visual,Joins
CN,Routing,61,94,2,Kinesthetic,Routing
CN,TCP/IP,52,56,2,Audio-Visual,TCP/IP
OS,Threads,52,108,4,Visual,Threads
Python,Loops,62,58,3,Audio-Visual,Loops
DBMS,SQL,88,41,2,Kinesthetic,Joins
CN,Routing,100,53,1,Kinesthetic,OSI Model
OS,Scheduling,57,117,4,Visual,Scheduling
DSA,Linked List,72,113,2,Visual,Linked List
OS,Processes,74,65,4,Kinesthetic,Processes
DBMS,Joins,77,77,2,Kinesthetic,Joins
Python,Loops,60,50,2,Audio-Visual,Loops
CN,TCP/IP,86,41,2,Kinesthetic,CN Revision
DSA,Linked List,97,77,2,Kinesthetic,DSA Revision
Python,Loops,61,118,2,Visual,Loops
OS,Processes,60,93,3,Kinesthetic,Processes
CN,TCP/IP,53,89,4,Audio-Visual,TCP/IP
OS,Scheduling,87,43,2,Kinesthetic,Threads
Python,Loops,82,48,1,Kinesthetic,File Handling
OS,Scheduling,84,69,2,Visual,Threads
CN,TCP/IP,61,108,3,Kinesthetic,TCP/IP
Python,Loops,99,75,1,Kinesthetic,File Handling
CN,TCP/IP,60,76,3,Visual,TCP/IP
CN,OSI Model,88,29,1,Audio-Visual,TCP/IP
CN,TCP/IP,71,120,3,Kinesthetic,TCP/IP
OS,Threads,69,93,4,Kinesthetic,Threads
DBMS,Normalisation,61,61,3,Kinesthetic,Normalisation
CN,TCP/IP,63,89,3,Visual,TCP/IP
CN,Routing,52,109,2,Audio-Visual,Routing
DBMS,Joins,84,75,2,Kinesthetic,Normalisation
OS,Scheduling,52,110,2,Audio-Visual,Scheduling
DSA,Arrays,54,115,2,Audio-Visual,Arrays
Python,Loops,60,118,3,Visual,Loops
CN,Routing,25,139,3,Visual,Routing
CN,OSI Model,60,119,4,Audio-Visual,OSI Model
Python,File Handling,94,40,1,Kinesthetic,Python Revision
Python,OOP,65,91,3,Visual,OOP
DSA,Stack,95,71,1,Visual,Arrays
OS,Scheduling,53,76,4,Visual,Scheduling
OS,Scheduling,86,25,1,Visual,Threads
Python,Loops,75,95,2,Visual,Loops
CN,OSI Model,65,101,3,Visual,OSI Model
DSA,Linked List,72,96,3,Kinesthetic,Linked List
DSA,Stack,20,108,5,Kinesthetic,Stack
DSA,Queue,93,75,2,Kinesthetic,Stack
DBMS,Normalisation,93,55,2,Kinesthetic,DBMS Revision
CN,Routing,56,114,3,Visual,Routing
OS,Processes,91,27,2,Kinesthetic,Scheduling
CN,OSI Model,66,61,2,Audio-Visual,OSI Model
Python,Loops,20,158,3,Visual,Loops
DBMS,Normalisation,63,87,3,Visual,Normalisation
CN,TCP/IP,88,23,2,Audio-Visual,CN Revision
OS,Threads,25,100,3,Visual,Threads
OS,Scheduling,88,74,2,Kinesthetic,Threads
CN,TCP/IP,91,71,1,Kinesthetic,CN Revision
DSA,Queue,84,58,1,Audio-Visual,Stack
DBMS,Joins,100,30,1,Kinesthetic,Normalisation
Python,OOP,95,39,2,Kinesthetic,Functions
CN,Routing,92,50,2,Audio-Visual,OSI Model
Python,Loops,60,117,4,Audio-Visual,Loops
CN,TCP/IP,93,59,2,Audio-Visual,CN Revision
OS,Threads,56,74,4,Visual,Threads
DSA,Arrays,10,98,3,Visual,Arrays
DBMS,Joins,88,32,1,Kinesthetic,Normalisation
CN,TCP/IP,100,27,1,Kinesthetic,CN Revision
CN,Routing,88,38,2,Kinesthetic,OSI Model
DBMS,Joins,90,36,1,Audio-Visual,Normalisation
DBMS,Joins,68,72,3,Kinesthetic,Joins
DSA,Linked List,83,29,2,Kinesthetic,DSA Revision
DBMS,Normalisation,27,99,5,Audio-Visual,Normalisation
Python,File Handling,80,79,1,Kinesthetic,Python Revision
DBMS,Normalisation,95,50,2,Kinesthetic,DBMS Revision
Python,Functions,75,65,4,Kinesthetic,Functions
Python,OOP,60,60,3,Audio-Visual,OOP
DSA,Stack,22,174,3,Visual,Stack
Python,Loops,45,106,4,Audio-Visual,Loops
Python,Functions,75,119,4,Audio-Visual,Functions
DBMS,SQL,70,55,3,Kinesthetic,SQL
CN,OSI Model,92,29,1,Visual,TCP/IP
Python,File Handling,32,173,3,Visual,File Handling
OS,Processes,76,58,2,Audio-Visual,Processes
CN,Routing,93,41,2,Kinesthetic,OSI Model
CN,TCP/IP,66,55,4,Kinesthetic,TCP/IP
OS,Processes,61,120,2,Audio-Visual,Processes
Python,Functions,100,59,2,Kinesthetic,Loops
Python,OOP,100,57,2,Kinesthetic,Functions
DBMS,Normalisation,68,116,3,Kinesthetic,Normalisation
CN,TCP/IP,95,59,1,Kinesthetic,CN Revision
DSA,Stack,83,59,2,Kinesthetic,Arrays
DSA,Arrays,64,110,3,Kinesthetic,Arrays
Python,OOP,54,105,3,Visual,OOP
DBMS,SQL,97,31,1,Kinesthetic,Joins
Python,OOP,98,57,2,Kinesthetic,Functions
OS,Processes,63,80,4,Kinesthetic,Processes
DSA,Queue,51,105,2,Audio-Visual,Queue
DSA,Linked List,31,170,4,Audio-Visual,Linked List
DSA,Queue,58,67,2,Visual,Queue
DSA,Arrays,99,30,1,Kinesthetic,Linked List
DBMS,SQL,70,85,2,Visual,SQL
DSA,Stack,57,69,4,Audio-Visual,Stack
Python,OOP,81,47,2,Audio-Visual,Functions
Python,File Handling,67,51,4,Audio-Visual,File Handling
DSA,Arrays,52,52,3,Audio-Visual,Arrays
DBMS,Normalisation,70,109,2,Visual,Normalisation
OS,Threads,80,75,1,Audio-Visual,OS Revision
Python,Loops,86,70,1,Audio-Visual,File Handling
OS,Processes,74,55,3,Kinesthetic,Processes
Python,Functions,87,54,1,Kinesthetic,Loops
DSA,Stack,58,114,4,Audio-Visual,Stack
OS,Scheduling,66,65,3,Audio-Visual,Scheduling
CN,OSI Model,75,58,2,Audio-Visual,OSI Model
DSA,Arrays,68,64,4,Kinesthetic,Arrays
DSA,Queue,71,119,2,Audio-Visual,Queue
Python,Loops,47,79,4,Kinesthetic,Loops
OS,Threads,72,117,4,Visual,Threads
DSA,Arrays,87,50,2,Kinesthetic,Linked List
OS,Scheduling,85,65,2,Audio-Visual,Threads
DSA,Stack,70,66,3,Kinesthetic,Stack
CN,TCP/IP,91,29,2,Kinesthetic,CN Revision
OS,Processes,75,68,3,Kinesthetic,Processes
CN,TCP/IP,59,110,3,Audio-Visual,TCP/IP
CN,TCP/IP,94,41,1,Kinesthetic,CN Revision
CN,Routing,44,78,3,Audio-Visual,Routing
CN,TCP/IP,87,70,2,Kinesthetic,CN Revision
DBMS,Normalisation,91,45,1,Visual,DBMS Revision
Python,Loops,38,137,4,Audio-Visual,Loops
OS,Scheduling,82,33,2,Audio-Visual,Threads
DBMS,Normalisation,43,61,2,Audio-Visual,Normalisation
CN,OSI Model,98,68,2,Kinesthetic,TCP/IP
OS,Scheduling,98,68,1,Kinesthetic,Threads
CN,OSI Model,89,73,2,Kinesthetic,TCP/IP
Python,OOP,75,65,4,Kinesthetic,OOP
DSA,Linked List,42,65,3,Visual,Linked List
CN,TCP/IP,68,105,3,Audio-Visual,TCP/IP
Python,Loops,42,83,2,Visual,Loops
DBMS,Normalisation,61,84,3,Kinesthetic,Normalisation
OS,Processes,70,59,4,Audio-Visual,Processes
Python,Functions,61,88,3,Visual,Functions
Python,Loops,36,126,4,Kinesthetic,Loops
DSA,Queue,67,74,4,Kinesthetic,Queue
CN,TCP/IP,48,103,3,Visual,TCP/IP
DSA,Queue,72,96,2,Audio-Visual,Queue
CN,TCP/IP,59,53,4,Audio-Visual,TCP/IP
DSA,Stack,29,100,4,Audio-Visual,Stack
Python,OOP,81,32,1,Audio-Visual,Functions
CN,Routing,33,95,3,Audio-Visual,Routing
Python,OOP,38,115,3,Visual,OOP
DSA,Arrays,51,114,4,Visual,Arrays
Python,OOP,74,77,4,Visual,OOP
CN,Routing,16,154,5,Visual,Routing
DSA,Linked List,80,73,2,Visual,DSA Revision
DBMS,SQL,28,156,3,Audio-Visual,SQL
OS,Threads,20,153,3,Visual,Threads
OS,Threads,63,87,3,Audio-Visual,Threads
DBMS,Normalisation,71,112,4,Audio-Visual,Normalisation
Python,OOP,78,63,4,Kinesthetic,OOP
Python,Loops,79,101,2,Kinesthetic,Loops
OS,Threads,66,95,3,Visual,Threads
DBMS,Normalisation,39,103,3,Audio-Visual,Normalisation
DSA,Queue,82,51,1,Kinesthetic,Stack
OS,Processes,53,59,4,Audio-Visual,Processes
DBMS,SQL,95,52,2,Audio-Visual,Joins
CN,TCP/IP,81,47,1,Kinesthetic,CN Revision
DBMS,Joins,37,174,4,Kinesthetic,Joins
DBMS,SQL,95,68,1,Audio-Visual,Joins
CN,TCP/IP,71,70,4,Visual,TCP/IP
CN,OSI Model,59,91,2,Visual,OSI Model
OS,Scheduling,62,98,2,Visual,Scheduling
DBMS,Joins,87,35,2,Kinesthetic,Normalisation
OS,Processes,67,91,2,Audio-Visual,Processes
CN,TCP/IP,72,110,4,Audio-Visual,TCP/IP
CN,OSI Model,75,112,2,Audio-Visual,OSI Model
OS,Processes,23,115,4,Visual,Processes
Python,Functions,59,101,2,Audio-Visual,Functions
CN,Routing,45,117,3,Visual,Routing
Python,Loops,68,119,3,Visual,Loops
CN,TCP/IP,85,76,1,Audio-Visual,CN Revision
DBMS,Joins,68,57,4,Visual,Joins
DSA,Stack,60,105,3,Visual,Stack
Python,Functions,59,70,3,Audio-Visual,Functions
DSA,Queue,67,89,3,Kinesthetic,Queue
DBMS,Normalisation,68,67,2,Kinesthetic,Normalisation
CN,Routing,90,70,1,Visual,OSI Model
OS,Threads,93,77,2,Audio-Visual,OS Revision
DSA,Stack,96,79,1,Kinesthetic,Arrays
CN,Routing,68,99,4,Audio-Visual,Routing
DSA,Stack,68,106,3,Kinesthetic,Stack
DBMS,Normalisation,83,40,2,Audio-Visual,DBMS Revision
DSA,Arrays,89,21,1,Audio-Visual,Linked List
DSA,Arrays,64,65,4,Visual,Arrays
DBMS,SQL,88,39,1,Audio-Visual,Joins
OS,Processes,100,40,2,Kinesthetic,Scheduling
Python,File Handling,90,65,2,Audio-Visual,Python Revision
CN,Routing,73,120,4,Audio-Visual,Routing
Python,Functions,49,50,3,Visual,Functions
CN,Routing,76,66,4,Kinesthetic,Routing
OS,Scheduling,84,36,1,Audio-Visual,Threads
DBMS,Joins,72,78,2,Kinesthetic,Joins
CN,TCP/IP,94,32,2,Kinesthetic,CN Revision
CN,OSI Model,31,111,5,Kinesthetic,OSI Model
DBMS,Joins,55,76,2,Visual,Joins
OS,Scheduling,49,105,2,Visual,Scheduling
OS,Threads,15,142,3,Visual,Threads
DSA,Linked List,74,60,2,Kinesthetic,Linked List
DBMS,Normalisation,93,67,2,Kinesthetic,DBMS Revision
OS,Processes,81,20,2,Audio-Visual,Scheduling
DBMS,Normalisation,42,55,4,Audio-Visual,Normalisation
DBMS,Joins,35,180,5,Audio-Visual,Joins
OS,Processes,88,67,2,Kinesthetic,Scheduling
OS,Threads,63,71,3,Audio-Visual,Threads
DSA,Linked List,61,79,2,Kinesthetic,Linked List
DBMS,Joins,95,22,2,Kinesthetic,Normalisation
DBMS,Joins,84,27,2,Kinesthetic,Normalisation
DSA,Arrays,93,33,1,Visual,Linked List
DBMS,Normalisation,80,38,1,Kinesthetic,DBMS Revision
Python,Loops,34,180,5,Kinesthetic,Loops
OS,Threads,11,173,5,Visual,Threads
CN,Routing,100,38,2,Kinesthetic,OSI Model
CN,TCP/IP,33,112,3,Audio-Visual,TCP/IP
Python,OOP,72,86,4,Kinesthetic,OOP
Python,Loops,89,77,1,Audio-Visual,File Handling
CN,Routing,62,110,3,Audio-Visual,Routing
DBMS,Joins,30,144,3,Visual,Joins
